job_id,tool_id,tool_version,state,memory.max_usage_in_bytes,cpuacct.usage,process_count,galaxy_slots,runtime_seconds,ref_data_size,input_data_size_1,input_data_size_2
9eb41155619921cf,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,59179978752.0000000,29479316494292.0000000,48.0000000,32.0000000,1162.0000000,0,5623417156,5917669619
24e5c386bae4c3f1,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14675968.0000000,144648905.0000000,48.0000000,16.0000000,6.0000000,0,5623417156,5917669619
17bef05f36b85f6e,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,53478584320.0000000,130984104665783.0000000,48.0000000,32.0000000,4359.0000000,0,5623417156,5917669619
20c1f58f67267054,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,54563946496.0000000,122873403631349.0000000,48.0000000,32.0000000,4167.0000000,0,5623417156,5917669619
4e1816937036c024,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,42221948928.0000000,80885442252949.0000000,32.0000000,16.0000000,5414.0000000,0,5623417156,5917669619
906e08c9e63e0981,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,41680900096.0000000,147596849629571.0000000,32.0000000,16.0000000,9546.0000000,0,5623417156,5917669619
ce4f9c19e8eca20d,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34359586816.0000000,116540432357267.0000000,48.0000000,8.0000000,14636.0000000,0,5623417156,5917669619
b914bd51927494e6,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,0,0,0,0,0,0,5623417156,5917669619
d293ec8b9c7b27bc,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,30945185792.0000000,36256363013034.0000000,48.0000000,16.0000000,2460.0000000,0,5623417156,5917669619
7e95d05d0cf43b19,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,60823068672.0000000,35837489637860.0000000,48.0000000,32.0000000,1450.0000000,0,5623417156,5917669619
42ec1a41c9efb887,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,26561110016.0000000,26621006688850.0000000,48.0000000,8.0000000,3468.0000000,0,5623417156,5917669619
1e25823415e755a4,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,15581184.0000000,152702605.0000000,48.0000000,4.0000000,10.0000000,0,5623417156,5917669619
611de7508eb90947,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,17179852800.0000000,127979714566319.0000000,32.0000000,4.0000000,32176.0000000,0,5623417156,5917669619
c189bb4acdf0b8a3,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,30881845248.0000000,62616753384707.0000000,48.0000000,32.0000000,2159.0000000,0,5623417156,5917669619
57f28eeed4d63e5a,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,43864920064.0000000,104458665760875.0000000,48.0000000,16.0000000,6810.0000000,0,5623417156,5917669619
6094a0598a789344,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,49970274304.0000000,36769376474539.0000000,48.0000000,16.0000000,2640.0000000,0,5623417156,5917669619
266a0709e1566e1d,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,error,0,0,0,0,0,0,5623417156,5917669619
